ComisionID,Nombre
1,Ética
2,Reglamento
3,Presupuestos
4,Derechos Humanos
5,Comunicaciones
6,Participación y Consulta Indígena
7,Participación Popular
8,Descentralización
9,SubComisión Vínculo Otras Comisiones
10,Subcomisión Estructura Orgánica (EOGP)
11,Subcomisión de Presupuestos
12,Subcomisión Reglamento Normas
21,Subcomisión Reglamento Estructura
22,Subcomisión DDHH 1
23,Subcomisión DDHH 2
24,Subcomisión DDHH 3
25,Sistema Político
26,Principios Constitucionales
27,Forma de Estado
28,Derechos Fundamentales
29,Medio Ambiente
30,Sistema de Justicia
31,Sistemas de Conocimientos
32,Pueblos Indígenas
33,Participación Popular
34,Comité de Ética
35,Derechos Fundamentales Subcomisión N° 1
36,Derechos Fundamentales Subcomisión N° 2
37,Enlaces Transversales
38,Forma de Estado Subcomisión N° 1
39,Forma de Estado Subcomisión N° 2
40,Derechos Fundamentales Subcomisión N° 3
41,Derechos Fundamentales Subcomisión N° 4
